name,param_idx,estimate,bca_lo,bca_hi,pc_lo,pc_hi,excludes_zero,p_bca,p_bca_label,p_bonferroni,p_bonferroni_label,p_holm,p_holm_label,p_fdr_bh,p_fdr_bh_label,n_admit,z0,acc
A.contrast.prev_main(L1-L2),1,0.26656402524275,-1.54765179769434,2.72607979660625,-2.32511907065135,1.97967326303124,0,0.57780758550974,0.578,1,1.000,1,1.000,0.751149861162661,0.751,6587,0.300723532497993,-0.0250740624326484
A.contrast.prev_main(L1-L3),1,-0.338264484193648,-3.03002890309249,1.81019561178829,-2.70436044799494,2.09371704246842,0,0.713982000260176,0.714,1,1.000,1,1.000,0.822768376603029,0.823,8836,-0.0414296540570452,-0.0300332159717457
A.contrast.prev_main(L2-L3),1,-0.604828509436397,-1.6385143742273,1.34416339122991,-1.87669643311516,0.659217497518815,0,0.331822707867157,0.332,1,1.000,1,1.000,0.547770819336258,0.548,6134,0.178292024499272,-0.0226631996746518
A.contrast.curr_main(L1-L2),1,-1.98682057489134,-6.16298453187621,-0.294343512609264,-4.56111298297318,0.295411675305459,1,0.018952905431209,0.019*,1,1.000,1,1.000,0.108237787401068,0.108,6168,-0.213337720709423,-0.0585886288448061
A.contrast.curr_main(L1-L3),1,-1.34813853461586,-5.95890311214975,0.55774502576925,-4.16738039790033,1.55821190510078,0,0.158565168378793,0.159,1,1.000,1,1.000,0.336546479824377,0.337,6148,-0.267772511768229,-0.052901327515183
A.contrast.curr_main(L2-L3),1,0.638682040275486,-1.34593628778005,2.82292354245569,-1.20893420059796,2.98164105066193,0,0.541034705533156,0.541,1,1.000,1,1.000,0.748953274746081,0.749,9600,-0.0402213373259018,-0.013064585420742
A.contrast.diag(L1L1-L2L2),1,-2.04673118169049,-4.58629129449601,0.217600089209826,-4.50923097850283,0.308387045541432,0,0.0753425933544127,0.075,1,1.000,1,1.000,0.252762248672869,0.253,9965,-0.0421459646829716,0.000585452875255284
A.contrast.diag(L1L1-L3L3),1,-0.872938539571049,-4.89089455890251,2.33860302180337,-4.62598950373008,2.60182644567033,0,0.568916429855196,0.569,1,1.000,1,1.000,0.748953274746081,0.749,9931,-0.0349651350791551,-0.0130087236032479
A.contrast.diag(L2L2-L3L3),1,1.17379264211944,-1.89197909819537,3.91750271438737,-1.87421929187711,3.9362700699101,0,0.396564220927294,0.397,1,1.000,1,1.000,0.634502753483671,0.635,9923,-0.0170518601280937,0.0066659349257115
A.contrast.offdiag(L1L2-L2L1),1,1.61297205543025,-1.36720298476352,7.69376793390687,-2.52565398210805,5.65207020306729,0,0.267399434497857,0.267,1,1.000,1,1.000,0.487886687504861,0.488,6647,0.187957222375513,0.0258036461522472
A.contrast.offdiag(L1L3-L3L1),1,1.65028659512606,-1.6751102343093,7.76327450655221,-2.56941906244615,6.2368043211241,0,0.303812833925304,0.304,1,1.000,1,1.000,0.526608912137194,0.527,8982,0.215995422118761,0.014051968921232
A.contrast.offdiag(L2L3-L3L2),1,-1.88392309441573,-6.32498818317673,0.136202176709461,-5.34644568095064,0.582808805468013,0,0.0654071712193156,0.065,1,1.000,1,1.000,0.242366434326689,0.242,9757,-0.0669739528124905,-0.0470236327568991
