subject_id,n_trials,mu_baseline,sigma_baseline,exit_flag,fit_failed,at_bound,skipped
1,3540,-0.678245368929558,15.0862991263849,2,0,0,0
2,3540,-0.504286884726609,23.5270362705726,2,0,0,0
3,3540,-8.15725696416418,19.2033835565685,2,0,0,0
4,2124,-12.6067121941505,90,2,0,1,1
5,3540,2.53127719966013,12.2114105982657,2,0,0,0
6,3540,1.28147406082446,9.82934714904292,2,0,0,0
7,3540,-2.96586384672899,90,2,0,1,1
8,3540,-10.0412734763232,12.1431956074118,2,0,0,0
9,3540,1.62368053507458,12.8746300106392,2,0,0,0
10,3540,-0.386459250723027,14.8108680943589,2,0,0,0
11,3540,-7.29926190228669,13.5216369022651,2,0,0,0
12,3540,0.690930010969979,19.038591196988,2,0,0,0
