subject_id,subject_label,n_trials,n_valid_responses,accuracy,response_rate,median_cell_n,min_cell_n,baseline_mu,baseline_sigma
1,001,3540,3540,0.563276836158192,1,197.5,180,-0.678245368929558,15.0862991263849
2,002,3540,3540,0.515536723163842,1,196,177,-0.504286884726609,23.5270362705726
3,003,3540,3540,0.536723163841808,1,198.5,184,-8.15725696416418,19.2033835565685
4,004,2124,2124,0.42984934086629,1,120,100,-12.6067121941505,90
5,006,3540,3540,0.601129943502825,1,197,185,2.53127719966013,12.2114105982657
6,007,3540,3540,0.617796610169492,1,194,180,1.28147406082446,9.82934714904292
7,008,3540,3540,0.429661016949153,1,197.5,184,-2.96586384672899,90
8,009,3540,3540,0.562994350282486,1,196.5,179,-10.0412734763232,12.1431956074118
9,010,3540,3540,0.577966101694915,1,195,182,1.62368053507458,12.8746300106392
10,011,3540,3540,0.575423728813559,1,196,180,-0.386459250723027,14.8108680943589
11,013,3540,3540,0.571468926553672,1,196.5,178,-7.29926190228669,13.5216369022651
12,015,3540,3540,0.548870056497175,1,195,172,0.690930010969979,19.038591196988
