lambda,cond_manipulation,cond_prev,cond_curr,A,w,fwhm,sigma,beta,exit_flag
0.02,contrast,1,1,6.10464976405309,0.0270474383153904,61.5625481015674,21.318248503809,-2.72785200635899,2
0.02,contrast,1,2,7.25828706364232,0.025630837079655,64.9650737953117,23.5565240018134,-2.36188710531264,2
0.02,contrast,1,3,8.85904953851001,0.0309043560540832,53.8794343231557,25.7772029269948,-1.78715150198749,2
0.02,contrast,2,1,5.97243290672239,0.0182730603612035,91.1237192567196,24.4216802711093,-2.43594607718716,2
0.02,contrast,2,2,8.75135019570046,0.0245417939215717,67.8479017319025,22.8917772566058,-1.67032639598824,2
0.02,contrast,2,3,7.9298529191924,0.0277022056917208,60.1074600645623,26.6005665448345,-2.26673566782248,2
0.02,contrast,3,1,7.01580895330486,0.0188298355125656,88.4293025929105,23.88959820296,-2.78411909832765,2
0.02,contrast,3,2,9.33451768374759,0.0192158691184259,86.6528186705195,25.3910830491336,-2.68919519579235,2
0.02,contrast,3,3,6.99260156562941,0.0269855180167885,61.7038079935869,24.5727446119185,-1.11127807004088,2
0.02,precision,1,1,6.4657049245195,0.0313622211220446,53.0928347145982,21.5736912172779,-2.05073874089664,2
0.02,precision,1,2,9.10368128990801,0.0241263256641276,69.0162789600064,25.7650507573916,-2.10277334796569,2
0.02,precision,1,3,8.97260047231587,0.0228166960962397,72.977665797539,26.4764415578699,-0.494725081840702,2
0.02,precision,2,1,8.4673438941705,0.0316169322468679,52.6651102426405,24.5809053631435,-2.65243036198195,2
0.02,precision,2,2,6.65734497505038,0.0234012558321169,71.1546950412005,21.5021076737092,-2.08535852991463,2
0.02,precision,2,3,8.29928967230724,0.0240569636141243,69.2152696002657,28.287872449365,-1.57868496909761,2
0.02,precision,3,1,5.33217410741937,0.0291707771029775,57.0814146101522,22.6713757876856,-3.52564586029941,2
0.02,precision,3,2,5.60301838357175,0.0303191731328354,54.9193480646771,22.5154101404148,-2.86021141845444,2
0.02,precision,3,3,10.0529258197173,0.0250374310578035,66.5047950994328,25.9622706074132,-0.506085528680168,2
0.05,contrast,1,1,6.1167591812713,0.0270383693490199,61.5831968570897,20.5315956598848,-2.72694677592925,2
0.05,contrast,1,2,7.27218693094,0.025600368610714,65.0423924606512,22.6994900778728,-2.35691086455469,2
